rating,faixa_risco,valor_aprovado_base_equilibrado,valor_aprovado_expansivo_controlado,incremento_valor_aprovado,participacao_incremento,leitura_politica
A,A - Baixo risco,11930756.386532549,13810637.289013954,1879880.902481405,0.5270619346690185,"Rating A: risco baixo — aprovação automática, limite até 5× renda"
B,B - Médio-baixo risco,5192649.915761124,6654837.127053871,1462187.2112927465,0.4099532153419889,"Rating B: risco médio-baixo — aprovação automática, limite até 4× renda"
C,C - Médio risco,19309.164859343284,243958.316793106,224649.1519337627,0.06298484998899256,Rating C: risco médio — aprovação condicional; análise manual nos casos de controle adicional
D,D - Alto risco,0.0,0.0,0.0,0.0,"Rating D: risco alto — análise manual obrigatória, sem limite automático"
E,E - Muito alto risco,0.0,0.0,0.0,0.0,Rating E: risco muito alto — recusa automática
