cenario,faixa_risco,qtd_clientes,pd_media,bad_rate_observado,renda_media,valor_solicitado_total,valor_aprovado_total,pct_exposicao_aprovada,limite_medio,valor_aprovado_medio,taxa_aprovacao_automatica,taxa_analise_manual,taxa_recusa
Conservador,A - Baixo risco,1945,0.022459731433158388,0.010796915167095116,3761.7589562982007,21279049.32,9343515.14742976,0.43909457640327326,5048.206772503079,4868.95005077111,0.9866323907455012,0.0,0.013367609254498715
Conservador,B - Médio-baixo risco,972,0.06068400176106369,0.04526748971193416,3759.242757201646,14219232.370000001,3464200.8302055392,0.24362783728848642,3573.8109213202415,3753.196999139262,0.9495884773662552,0.0,0.050411522633744855
Conservador,C - Médio risco,729,0.10982133378682284,0.1056241426611797,3605.2722085048003,10908478.17,0.0,0.0,2498.398473243275,0.0,0.0,0.9108367626886146,0.08916323731138547
Conservador,D - Alto risco,729,0.22527290573524905,0.25102880658436216,3494.346598079561,10765895.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Conservador,E - Muito alto risco,487,0.522442778239667,0.5605749486652978,3413.799281314168,7431711.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Base/Equilibrado,A - Baixo risco,1945,0.022459731433158388,0.010796915167095116,3761.7589562982007,21279049.32,11930756.386532549,0.5606808935453207,6898.972823872937,6137.220363442669,0.9994858611825193,0.0,0.0005141388174807198
Base/Equilibrado,B - Médio-baixo risco,972,0.06068400176106369,0.04526748971193416,3759.242757201646,14219232.370000001,5192649.915761124,0.3651849678409274,5421.055525347341,5342.232423622556,1.0,0.0,0.0
Base/Equilibrado,C - Médio risco,729,0.10982133378682284,0.1056241426611797,3605.2722085048003,10908478.17,19309.164859343284,0.0017701062016557425,4072.8718328983914,4827.29121483582,0.0054869684499314125,0.9821673525377229,0.012345679012345678
Base/Equilibrado,D - Alto risco,729,0.22527290573524905,0.25102880658436216,3494.346598079561,10765895.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Base/Equilibrado,E - Muito alto risco,487,0.522442778239667,0.5605749486652978,3413.799281314168,7431711.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Expansivo controlado,A - Baixo risco,1945,0.022459731433158388,0.010796915167095116,3761.7589562982007,21279049.32,13810637.289013954,0.6490251082802582,8668.137427151523,7189.295829783421,0.9876606683804627,0.012339331619537276,0.0
Expansivo controlado,B - Médio-baixo risco,972,0.06068400176106369,0.04526748971193416,3759.242757201646,14219232.370000001,6654837.127053871,0.46801662381538744,7161.316891321802,7140.383183534196,0.9588477366255144,0.0411522633744856,0.0
Expansivo controlado,C - Médio risco,729,0.10982133378682284,0.1056241426611797,3605.2722085048003,10908478.17,243958.31679310597,0.02236410184731625,5642.070515728307,5808.531352216809,0.05761316872427984,0.9410150891632373,0.0013717421124828531
Expansivo controlado,D - Alto risco,729,0.22527290573524905,0.25102880658436216,3494.346598079561,10765895.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Expansivo controlado,E - Muito alto risco,487,0.522442778239667,0.5605749486652978,3413.799281314168,7431711.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0
