cenario,taxa_aprovacao_automatica_total,taxa_analise_manual,bad_rate_observado_aprovados,pct_exposicao_aprovada,taxa_eficiencia_operacional,score_inadimplencia,score_aprovacao,score_exposicao,score_eficiencia,score_gerencial
Expansivo controlado,0.595433977786919,0.3041958041958042,0.021070811744386873,0.3205577830727483,0.29123817359111476,1.0,0.6794871794871801,1.0,0.0,0.7358974358974361
Conservador,0.5845331139448786,0.2865076100370218,0.0211118930330753,0.19824845484548495,0.2980255039078568,0.9654623007659137,0.0,0.0,0.5593220338983007,0.5463224421243214
Base/Equilibrado,0.6005758946935418,0.2972027972027972,0.02226027397260274,0.26534917382250955,0.3033730974907446,0.0,1.0,0.5486148926625167,1.0,0.48229223389937753
