cenario,qtd_clientes,taxa_historica_inadimplencia,taxa_aprovacao_valor_solicitado,taxa_aprovacao_reduzida,taxa_aprovacao_automatica_total,taxa_analise_manual,taxa_recusa,pd_media_aprovados,bad_rate_observado_aprovados,valor_solicitado_total,valor_aprovado_total,pct_exposicao_aprovada,reducao_exposicao,limite_medio,valor_aprovado_medio
Conservador,4862,0.12299465240641712,0.08206499382969971,0.5024681201151789,0.5845331139448786,0.2865076100370218,0.12895927601809956,0.03476957471763768,0.0211118930330753,64604367.22,12807715.977635298,0.19824845484548495,51796651.242364705,3108.5641454208376,4506.5854952974305
Base/Equilibrado,4862,0.12299465240641712,0.1688605512134924,0.43171534348004936,0.6005758946935418,0.2972027972027972,0.10222130810366105,0.03529564342448,0.02226027397260274,64604367.22,17142715.467153016,0.26534917382250955,47461651.752846986,4454.317498818058,5870.792968203089
Expansivo controlado,4862,0.12299465240641712,0.23097490744549568,0.3644590703414233,0.595433977786919,0.3041958041958042,0.10037021801727684,0.03588223636043255,0.021070811744386873,64604367.22,20709432.73286093,0.3205577830727483,43894934.48713907,5745.248194187668,7153.517351592722
