cenario_recomendado,faixa_risco,intervalo_pd,bad_rate_observado,multiplicador_renda,teto_rating,pct_max_comprometimento,tratamento_restritivos,tratamento_cliente_inativo,tratamento_tempo_relacionamento,acao_principal,regra_limite,observacao_negocio
Expansivo controlado,A - Baixo risco,"0,47% a 4,25%",0.010796915167095116,5.0,39222.68,0.35,"{'sem_restritivo': 1.0, 'ate_2pct': 1.0, 'ate_5pct': 0.95, 'ate_10pct': 0.8, 'acima_10pct': 0.6}",fator = 0.85,"{'longo': 1.0, 'medio': 0.95, 'curto': 0.85}",Aprovar valor solicitado / Aprovar valor reduzido; Análise manual se restritivo acima de 10% da renda,"limite = min(renda x 5.0, VP_parcela_max, R$ 39,223)","Limite = min(renda x mult, VP parcela max, teto) x fator_rest x fator_ativo x fator_tempo. Rating A/B com restritivo acima de 10% da renda vai para análise manual por governança. Rating C exige mesa para restritivo relevante, cliente inativo, relacionamento curto ou proposta muito acima do limite. Parametros a validar com politica de credito antes de qualquer uso produtivo."
Expansivo controlado,B - Médio-baixo risco,"4,26% a 8,23%",0.04526748971193416,4.0,31378.15,0.3,"{'sem_restritivo': 1.0, 'ate_2pct': 1.0, 'ate_5pct': 0.95, 'ate_10pct': 0.8, 'acima_10pct': 0.6}",fator = 0.85,"{'longo': 1.0, 'medio': 0.95, 'curto': 0.85}",Aprovar valor solicitado / Aprovar valor reduzido; Análise manual se restritivo acima de 10% da renda,"limite = min(renda x 4.0, VP_parcela_max, R$ 31,378)","Limite = min(renda x mult, VP parcela max, teto) x fator_rest x fator_ativo x fator_tempo. Rating A/B com restritivo acima de 10% da renda vai para análise manual por governança. Rating C exige mesa para restritivo relevante, cliente inativo, relacionamento curto ou proposta muito acima do limite. Parametros a validar com politica de credito antes de qualquer uso produtivo."
Expansivo controlado,C - Médio risco,"8,23% a 14,65%",0.1056241426611797,2.5,23533.61,0.25,"{'sem_restritivo': 1.0, 'ate_2pct': 1.0, 'ate_5pct': 0.95, 'ate_10pct': 0.8, 'acima_10pct': 0.6}",fator = 0.85,"{'longo': 1.0, 'medio': 0.95, 'curto': 0.85}",Aprovar valor solicitado / Aprovar valor reduzido; Análise manual em casos de controle adicional,"limite = min(renda x 2.5, VP_parcela_max, R$ 23,534)","Limite = min(renda x mult, VP parcela max, teto) x fator_rest x fator_ativo x fator_tempo. Rating A/B com restritivo acima de 10% da renda vai para análise manual por governança. Rating C exige mesa para restritivo relevante, cliente inativo, relacionamento curto ou proposta muito acima do limite. Parametros a validar com politica de credito antes de qualquer uso produtivo."
Expansivo controlado,D - Alto risco,"14,67% a 35,04%",0.25102880658436216,0.0,0.0,0.2,"{'sem_restritivo': 1.0, 'ate_2pct': 1.0, 'ate_5pct': 0.95, 'ate_10pct': 0.8, 'acima_10pct': 0.6}",fator = 0.85,"{'longo': 1.0, 'medio': 0.95, 'curto': 0.85}",Análise manual,Sem limite automatico,"Limite = min(renda x mult, VP parcela max, teto) x fator_rest x fator_ativo x fator_tempo. Rating A/B com restritivo acima de 10% da renda vai para análise manual por governança. Rating C exige mesa para restritivo relevante, cliente inativo, relacionamento curto ou proposta muito acima do limite. Parametros a validar com politica de credito antes de qualquer uso produtivo."
Expansivo controlado,E - Muito alto risco,"35,05% a 92,14%",0.5605749486652978,0.0,0.0,0.0,"{'sem_restritivo': 1.0, 'ate_2pct': 1.0, 'ate_5pct': 0.95, 'ate_10pct': 0.8, 'acima_10pct': 0.6}",fator = 0.85,"{'longo': 1.0, 'medio': 0.95, 'curto': 0.85}",Recusar,Sem limite automatico,"Limite = min(renda x mult, VP parcela max, teto) x fator_rest x fator_ativo x fator_tempo. Rating A/B com restritivo acima de 10% da renda vai para análise manual por governança. Rating C exige mesa para restritivo relevante, cliente inativo, relacionamento curto ou proposta muito acima do limite. Parametros a validar com politica de credito antes de qualquer uso produtivo."
